[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/ping              --> main.main.func3 (4 handlers)
[GIN-debug] GET    /api/v1/test              --> main.main.func4 (4 handlers)
2025/10/09 10:03:19 🚀 Server starting on http://localhost:8080
2025/10/09 10:03:19 📊 Health check: http://localhost:8080/health
2025/10/09 10:03:19 📚 Swagger Docs: http://localhost:8080/swagger/index.html
2025/10/09 10:03:19 🧪 Test API: http://localhost:8080/api/v1/test
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2025/10/09 - 10:03:21 | 200 |       62.52µs |             ::1 | GET      "/health"
[GIN] 2025/10/09 - 10:04:18 | 200 |      435.72µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/10/09 - 10:04:39 | 200 |    6.593136ms |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/10/09 - 10:04:39 | 200 |     846.282µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2025/10/09 - 10:04:39 | 200 |       116.5µs |             ::1 | GET      "/swagger/index.css"
[GIN] 2025/10/09 - 10:04:39 | 200 |     885.005µs |             ::1 | GET      "/swagger/swagger-initializer.js"
[GIN] 2025/10/09 - 10:04:39 | 200 |    1.455287ms |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2025/10/09 - 10:04:39 | 200 |   11.510566ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2025/10/09 - 10:04:40 | 200 |      86.496µs |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2025/10/09 - 10:04:42 | 200 |   68.372854ms |             ::1 | GET      "/swagger/doc.json"
[GIN] 2025/10/09 - 10:05:36 | 200 |     445.994µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2025/10/09 - 10:37:19 | 200 |     2.13895ms |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/10/09 - 10:37:19 | 304 |     899.235µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2025/10/09 - 10:37:19 | 200 |     562.582µs |             ::1 | GET      "/swagger/swagger-initializer.js"
[GIN] 2025/10/09 - 10:37:19 | 200 |      18.733µs |             ::1 | GET      "/swagger/index.css"
[GIN] 2025/10/09 - 10:37:19 | 304 |     197.659µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2025/10/09 - 10:37:19 | 304 |   35.634742ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2025/10/09 - 10:37:20 | 304 |     810.066µs |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2025/10/09 - 10:37:22 | 200 |     779.157µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2025/10/09 - 10:45:53 | 200 |    4.588388ms |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/10/09 - 10:45:53 | 304 |    1.862384ms |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2025/10/09 - 10:45:53 | 304 |      65.933µs |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2025/10/09 - 10:45:53 | 304 |      76.024µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2025/10/09 - 10:45:53 | 200 |     265.638µs |             ::1 | GET      "/swagger/swagger-initializer.js"
[GIN] 2025/10/09 - 10:45:53 | 200 |    1.726146ms |             ::1 | GET      "/swagger/index.css"
[GIN] 2025/10/09 - 10:46:04 | 200 |     123.763µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/10/09 - 10:46:04 | 200 |     223.532µs |             ::1 | GET      "/swagger/swagger-initializer.js"
[GIN] 2025/10/09 - 10:46:04 | 200 |       30.43µs |             ::1 | GET      "/swagger/index.css"
[GIN] 2025/10/09 - 10:46:04 | 304 |      30.782µs |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2025/10/09 - 10:46:06 | 200 |   11.928708ms |             ::1 | GET      "/swagger/doc.json"
